AeroDyn airfoil file Created with QBlade v0.963 64bit on 07.04.2020 at 10:42:36 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.98          Angle of attack for zero Cn for linear Cn curve (deg)
8.97761        Cn slope for zero lift for linear Cn curve (1/rad)
1.0039         Cn at stall value for positive angle of attack for linear Cn curve
-0.3607        Cn at stall value for negative angle of attack for linear Cn curve
-6.00          Angle of attack for minimum CD (deg)
0.0138         Minimum CD value
     -8.00   -0.4417    0.0230
     -7.00   -0.4238    0.0170
     -6.00   -0.3612    0.0138
     -5.00   -0.3246    0.0287
     -4.50   -0.2417    0.0245
     -4.00   -0.1607    0.0237
     -3.50   -0.0818    0.0234
     -2.50    0.0749    0.0228
     -2.00    0.1438    0.0227
      1.00    0.4939    0.0180
      1.50    0.5443    0.0183
      2.00    0.5945    0.0187
      2.50    0.6442    0.0192
      3.00    0.6932    0.0197
      3.50    0.7416    0.0202
      4.00    0.7891    0.0208
      4.50    0.8358    0.0214
      5.00    0.8810    0.0221
      5.50    0.9250    0.0229
      6.00    0.9672    0.0238
      6.50    1.0076    0.0247
      7.00    1.0447    0.0256
      7.50    1.0791    0.0267
      8.00    1.1047    0.0285
      8.50    1.1312    0.0302
      9.00    1.1555    0.0322
      9.50    1.1787    0.0344
     10.00    1.1991    0.0368
     10.50    1.2173    0.0396
     11.00    1.2325    0.0429
     11.50    1.2456    0.0465
     12.00    1.2554    0.0507
     12.50    1.2623    0.0554
     13.00    1.2665    0.0606
     13.50    1.2683    0.0665
     14.00    1.2678    0.0728
     14.50    1.2651    0.0799
     15.00    1.2603    0.0874
     15.50    1.2532    0.0956
     16.00    1.2443    0.1043
     16.50    1.2338    0.1137
     17.00    1.2214    0.1237
     17.50    1.2085    0.1342
     18.00    1.1948    0.1452
     18.50    1.1804    0.1570
     19.00    1.1656    0.1695
     19.50    1.1493    0.1832
     20.00    1.1289    0.1992
     21.00    1.1027    0.1931
     22.00    1.0867    0.2164
     23.00    1.0760    0.2403
     24.00    1.0698    0.2649
     25.00    1.0676    0.2900
     26.00    1.0687    0.3156
     27.00    1.0724    0.3417
     28.00    1.0784    0.3684
     29.00    1.0861    0.3955
     30.00    1.0951    0.4231
     31.00    1.1051    0.4512
     32.00    1.1158    0.4796
     33.00    1.1270    0.5085
     34.00    1.1385    0.5377
     35.00    1.1500    0.5673
     36.00    1.1614    0.5972
     37.00    1.1725    0.6274
     38.00    1.1832    0.6579
     39.00    1.1934    0.6885
     40.00    1.2030    0.7194
     41.00    1.2120    0.7505
     42.00    1.2201    0.7816
     43.00    1.2273    0.8129
     44.00    1.2337    0.8442
     45.00    1.2390    0.8756
     46.00    1.2433    0.9070
     47.00    1.2466    0.9383
     48.00    1.2487    0.9695
     49.00    1.2496    1.0006
     50.00    1.2493    1.0316
     51.00    1.2478    1.0623
     52.00    1.2450    1.0929
     53.00    1.2410    1.1232
     54.00    1.2356    1.1532
     55.00    1.2289    1.1828
     56.00    1.2208    1.2121
     57.00    1.2114    1.2410
     58.00    1.2007    1.2694
     59.00    1.1886    1.2974
     60.00    1.1751    1.3248
     61.00    1.1602    1.3517
     62.00    1.1440    1.3781
     63.00    1.1264    1.4038
     64.00    1.1075    1.4289
     65.00    1.0872    1.4533
     66.00    1.0656    1.4770
     67.00    1.0427    1.5000
     68.00    1.0185    1.5223
     69.00    0.9929    1.5437
     70.00    0.9662    1.5644
     71.00    0.9382    1.5842
     72.00    0.9090    1.6031
     73.00    0.8786    1.6212
     74.00    0.8471    1.6384
     75.00    0.8145    1.6546
     76.00    0.7808    1.6699
     77.00    0.7461    1.6842
     78.00    0.7104    1.6975
     79.00    0.6737    1.7098
     80.00    0.6361    1.7212
     81.00    0.5977    1.7314
     82.00    0.5584    1.7407
     83.00    0.5184    1.7489
     84.00    0.4777    1.7560
     85.00    0.4363    1.7620
     86.00    0.3943    1.7670
     87.00    0.3517    1.7709
     88.00    0.3087    1.7736
     89.00    0.2652    1.7753
     90.00    0.2213    1.7759
     91.00    0.1771    1.7754
     92.00    0.1327    1.7738
     93.00    0.0881    1.7711
     94.00    0.0433    1.7673
     95.00   -0.0015    1.7624
     96.00   -0.0464    1.7565
     97.00   -0.0911    1.7494
     98.00   -0.1358    1.7413
     99.00   -0.1803    1.7322
    100.00   -0.2245    1.7220
    101.00   -0.2684    1.7108
    102.00   -0.3119    1.6985
    103.00   -0.3550    1.6853
    104.00   -0.3975    1.6711
    105.00   -0.4395    1.6559
    106.00   -0.4809    1.6397
    107.00   -0.5215    1.6227
    108.00   -0.5614    1.6047
    109.00   -0.6045    1.5859
    110.00   -0.6426    1.5662
    111.00   -0.6798    1.5457
    112.00   -0.7161    1.5243
    113.00   -0.7513    1.5022
    114.00   -0.7854    1.4793
    115.00   -0.8183    1.4558
    116.00   -0.8501    1.4315
    117.00   -0.8806    1.4065
    118.00   -0.9099    1.3809
    119.00   -0.9378    1.3548
    120.00   -0.9644    1.3280
    121.00   -0.9895    1.3007
    122.00   -1.0133    1.2730
    123.00   -1.0355    1.2447
    124.00   -1.0563    1.2160
    125.00   -1.0755    1.1870
    126.00   -1.0931    1.1576
    127.00   -1.1092    1.1278
    128.00   -1.1237    1.0978
    129.00   -1.1366    1.0675
    130.00   -1.1478    1.0370
    131.00   -1.1574    1.0064
    132.00   -1.1653    0.9756
    133.00   -1.1716    0.9447
    134.00   -1.1763    0.9137
    135.00   -1.1793    0.8828
    136.00   -1.1806    0.8518
    137.00   -1.1803    0.8209
    138.00   -1.1784    0.7901
    139.00   -1.1749    0.7595
    140.00   -1.1697    0.7290
    141.00   -1.1630    0.6987
    142.00   -1.1548    0.6686
    143.00   -1.1450    0.6389
    144.00   -1.1337    0.6094
    145.00   -1.1210    0.5803
    146.00   -1.1068    0.5516
    147.00   -1.0913    0.5234
    148.00   -1.0744    0.4955
    149.00   -1.0563    0.4682
    150.00   -1.0369    0.4414
    151.00   -1.0164    0.4151
    152.00   -0.9947    0.3894
    153.00   -0.9720    0.3644
    154.00   -0.9484    0.3400
    155.00   -0.9239    0.3162
    156.00   -0.8986    0.2932
    157.00   -0.8727    0.2709
    158.00   -0.8463    0.2494
    159.00   -0.8196    0.2286
    160.00   -0.7927    0.2086
    161.00   -0.7660    0.1895
    162.00   -0.7397    0.1712
    163.00   -0.7143    0.1538
    164.00   -0.6905    0.1373
    165.00   -0.6688    0.1217
    166.00   -0.6506    0.1070
    167.00   -0.6371    0.0933
    168.00   -0.6302    0.0805
    169.00   -0.6319    0.0687
    170.00   -0.6432    0.0579
    171.00   -0.6623    0.0481
    172.00   -0.6807    0.0393
    173.00   -0.6823    0.0315
    174.00   -0.6514    0.0248
    175.00   -0.5855    0.0190
    176.00   -0.4962    0.0144
    177.00   -0.3969    0.0107
    178.00   -0.2954    0.0081
    179.00   -0.1938    0.0065
    180.00   -0.0922    0.0060
