AeroDyn airfoil file Created with QBlade v0.963 64bit on 12.04.2020 at 19:12:08 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.64          Angle of attack for zero Cn for linear Cn curve (deg)
6.29913        Cn slope for zero lift for linear Cn curve (1/rad)
0.8376         Cn at stall value for positive angle of attack for linear Cn curve
-0.7899        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0120         Minimum CD value
     -8.00   -0.4798    0.0223
     -7.00   -0.3698    0.0223
     -6.00   -0.2598    0.0223
     -5.00   -0.1498    0.0222
     -4.00   -0.0398    0.0222
     -3.00    0.0702    0.0221
     -2.00    0.1802    0.0221
     -1.00    0.2902    0.0220
      0.00    0.4002    0.0220
      1.00    0.5102    0.0220
      2.00    0.6202    0.0221
      3.00    0.7300    0.0221
      4.00    0.8388    0.0222
      4.50    0.8936    0.0213
      5.00    0.9358    0.0219
      5.50    0.9769    0.0226
      6.00    1.0114    0.0238
      6.50    1.0443    0.0249
      7.00    1.0746    0.0260
      7.50    1.1045    0.0271
      8.00    1.1331    0.0284
      8.50    1.1593    0.0298
      9.00    1.1833    0.0314
      9.50    1.2042    0.0332
     10.00    1.2209    0.0353
     10.50    1.2305    0.0379
     11.00    1.2339    0.0411
     11.50    1.2357    0.0449
     12.00    1.2310    0.0496
     12.50    1.2232    0.0553
     13.00    1.2115    0.0622
     13.50    1.1966    0.0700
     14.00    1.1798    0.0786
     14.50    1.1582    0.0887
     15.00    1.1310    0.1011
     15.50    1.1071    0.1134
     16.00    1.0759    0.1286
     16.50    1.0467    0.1443
     17.00    1.0083    0.1642
     17.50    0.9935    0.1771
     18.00    0.9705    0.1956
     18.50    0.9644    0.2088
     19.00    0.9628    0.2208
     19.50    0.9634    0.2325
     20.00    0.9646    0.2447
     21.00    0.9956    0.2059
     22.00    0.9947    0.2292
     23.00    0.9978    0.2531
     24.00    1.0043    0.2777
     25.00    1.0134    0.3028
     26.00    1.0246    0.3285
     27.00    1.0375    0.3547
     28.00    1.0516    0.3814
     29.00    1.0666    0.4087
     30.00    1.0822    0.4364
     31.00    1.0981    0.4647
     32.00    1.1141    0.4934
     33.00    1.1300    0.5225
     34.00    1.1458    0.5520
     35.00    1.1611    0.5818
     36.00    1.1760    0.6121
     37.00    1.1903    0.6426
     38.00    1.2039    0.6734
     39.00    1.2167    0.7045
     40.00    1.2286    0.7357
     41.00    1.2396    0.7672
     42.00    1.2497    0.7988
     43.00    1.2587    0.8305
     44.00    1.2665    0.8623
     45.00    1.2733    0.8941
     46.00    1.2788    0.9259
     47.00    1.2832    0.9577
     48.00    1.2862    0.9894
     49.00    1.2880    1.0210
     50.00    1.2884    1.0525
     51.00    1.2875    1.0837
     52.00    1.2853    1.1148
     53.00    1.2816    1.1455
     54.00    1.2765    1.1760
     55.00    1.2700    1.2062
     56.00    1.2621    1.2359
     57.00    1.2528    1.2653
     58.00    1.2420    1.2942
     59.00    1.2297    1.3226
     60.00    1.2160    1.3506
     61.00    1.2009    1.3779
     62.00    1.1843    1.4047
     63.00    1.1663    1.4309
     64.00    1.1468    1.4564
     65.00    1.1260    1.4813
     66.00    1.1037    1.5054
     67.00    1.0801    1.5288
     68.00    1.0551    1.5514
     69.00    1.0288    1.5732
     70.00    1.0012    1.5942
     71.00    0.9722    1.6144
     72.00    0.9421    1.6337
     73.00    0.9106    1.6520
     74.00    0.8780    1.6695
     75.00    0.8443    1.6860
     76.00    0.8094    1.7016
     77.00    0.7735    1.7161
     78.00    0.7365    1.7297
     79.00    0.6985    1.7422
     80.00    0.6596    1.7537
     81.00    0.6197    1.7642
     82.00    0.5790    1.7736
     83.00    0.5376    1.7819
     84.00    0.4953    1.7891
     85.00    0.4524    1.7953
     86.00    0.4089    1.8003
     87.00    0.3648    1.8042
     88.00    0.3201    1.8071
     89.00    0.2750    1.8088
     90.00    0.2296    1.8093
     91.00    0.1837    1.8088
     92.00    0.1376    1.8072
     93.00    0.0913    1.8044
